file,content
scraped_data/rlgant_com/rlgant.com/experiential.html.html,"RL Gant eX creates immersive, live and memorable experiential campaigns that deliver your brand message without distractions. Our platforms help to humanize brands and brand partnerships, by delivering experiences that leave people with lasting and positive impressions. We marry them with social media and compelling musical, artistic, theatrical and performance content, to amplify all efforts on singular or across multiple channels. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/asian-american-international-film-festival.html.html,"The Objective RL Gant eXperiential was tasked with securing a venue in New York City and sponsorship for AAIFF 41 Opening Night Reception for the featured film âSearching staring John Cho. The Solution RL Gant eXperiential negotiated a partnership with Cadillac and we produced the AAIFF 2018 Opening Night Reception at Cadillac House in New York City. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/asian-american-film-lab.html.html,"The Objective The Shootout is a worldwide short film competition where filmmaking teams have 72 hours to write, shoot, edit, and produce short digital films up to 5 minutes in length and based on a common theme. The Shootout theme is announced in early JUNE best avana 100 mg, at a launch party in New York City and simultaneously on the Internet. The Shootout culminates in July, with a theatrical screening of the top ten finalists, an awards presentation, and a wrap party. Asian CineVision partners with Asian American Film Lab to promote the Shootout at the annual Asian American International Film Festival (âAAIFFâ). The Solution RL Gant Entertainment delivers key opportunities for brands to communicate deeply within the Asian American community, through multiple key platforms, engagement and activations in the traditional enclaves for Asian Americans, Los Angeles and New York City. Brands have the opportunity to wrap messaging in and around filmed and video content originating throughout the global Asian diaspora. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/entertainment.html.html,"Aladdin Artists, creates and orchestrates a vast array of music, art, dance, film, television and theatrical works. And activates entertainment experiences across multiple platforms. Executive Producer, Richard L Gant earned his credentials early in life while working as a professional musician (trumpet) and composer in various artistic settings including live performance, composition, theatrical music direction and production. As Director of Special Events at the world famous Palladium in New York City, he lead the creative for the production and technical teams on multiple legendary events Including, Opening Announcement of Universal Orlando, hosted by Steven Spielberg and Ron Howard. Richard received music conservatory training at Howard University under the direction of Trumpeter, Donald Byrd and continues to play professionally as time permits. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/network.html.html,"OUR NETWORK The RL Gant Group Inc., maintains a strong network of strategic alliances to provide our clients with additional expert services. We are able to meet the needs of our clients with these trusted partners. MGA Design: Full Branding and Communications Services mgadesign.com.br Ideko Productions: Full Service Event Production idekoproductions.com Weâve worked with -> American Airlines, PGA Tour, Champions Tour, Cisco, HSBC, Americaâs Best Racing, Uptown Magazine, BMW, Universal Orlando, Chase, American Express, Citi, NASCAR, ESPN, Golf Digest Magazine"
scraped_data/rlgant_com/rlgant.com/aladdin-artists.html.html,"ALADDIN ARTISTS Aladdin Artists creates, directs and produces entertainment, centered around the performing arts, film and television. First established as a music management/production company along with a sister company Seabirds Music Publishing, they were the place where management, production and publishing was provided for the artistic works of a 17-year-old trumpet player (Richard L Gant) who founded them on the advice of the late Donald Byrd, who at the time was also Chairman of the Jazz Studies Department and Howard University, where Richard was enrolled. Over the years Aladdin Artists has maintained that role and expanded its involvement to take advantage of the enormous synergies that technological advancement in digital applications allows for capturing and distributing entertainment. Aladdin Artists now looks at opportunities for composition across multiple media disciplines and for various artists, actors, dancers and other performers and performances. Currently in Production: The Documentary Carnaval Brasil. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/janeth-arcain.html.html,"The Objective Increase awareness of this Brazilian Basketball icon in the United States, during her playing days for the WNBA Houston Comets. The Solution RL Gant Sports developedÂ Â a portfolio of endorsement and appearance opportunities for Janeth, to showcase her career and her off court endeavors, which she has continued non-stop after her retirement from the WNBA. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/too-black-too-fast.html.html,"The Objective RL Gant Sports was tasked with creating, directing and launching a marketing platform which we dubbed the Too Black Too Fast Triple Crown Tour. The Solution The Triple Crown Tour included a custom interactive exhibit featuring original paintings by Michael McBride and sculptures by George Nock. The artworks celebrated the African American Jockeyâs historic role in Thoroughbred Racing. Brand partnerships were customized and activated to host a series of nationally focused events with a strong educational component featuring the exhibits fine art works, narrative and video content.Â RL Gant Sports creates and produces experiential events where marketing partners participate through custom tailored consumer or business focused engagements. Our platforms take a goal-oriented approach to content integration, aligning purpose with your brand story and activated to maximize consumer touch points and reach. About RL Gant develops sports, entertainment and media marketing platforms"
scraped_data/rlgant_com/rlgant.com/blog-single.html.html,404: Page not found This error is generated when there was no web page with the name you specified at the web site. Troubleshooting suggestions: Ensure the page you are linking to exists in the correct folder. Check your file name for case sensitivity . Index.htm is not the same as index.htm! Temporarily disable any rewrite rules by renaming your .htaccess file if it exists.
scraped_data/rlgant_com/rlgant.com/index.html,"Home News Our Story Expertise Media Sports Experiential Entertainment Celebrity Golf Classic Contact About RL Gant develops sports, entertainment and media marketing platforms Follow Us On Social Media Useful Links NETWORK ENTERTAINMENT SPORTS"
